time_s,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,ref1,ref2,ref3,temp1,temp2,temp3
1.010000,0.118448,0.210012,0.182906,0.139811,0.161172,1.673504,-0.212291,-0.034188,0.196581,0.147615,0.195323,-0.173143,32.0,35.0,31.0
1.020033,0.123026,0.376068,0.193162,0.141337,0.170940,1.673504,-0.213054,-0.063492,0.210256,0.151824,0.196775,-0.174167,32.0,35.0,31.0
1.030141,0.126459,0.346764,0.237607,0.142100,0.053724,1.752137,-0.213817,-0.170940,0.203419,0.156126,0.198216,-0.175210,32.0,35.0,31.0
1.040308,0.131037,0.532357,0.176068,0.143244,0.151404,1.748718,-0.214580,-0.102564,0.275214,0.160511,0.199642,-0.176277,32.0,35.0,31.0
1.050123,0.135233,0.454212,0.158974,0.144388,0.004884,1.694017,-0.215724,-0.043956,0.278632,0.164797,0.201001,-0.177327,32.0,35.0,31.0
1.060045,0.139429,0.424908,0.182906,0.145914,0.102564,1.765812,-0.217250,-0.131868,0.312821,0.169178,0.202357,-0.178417,32.0,35.0,31.0
1.070054,0.144007,0.366300,0.165812,0.147059,0.180708,1.735043,-0.218395,-0.131868,0.323077,0.173643,0.203710,-0.179549,32.0,35.0,31.0
1.080001,0.148203,0.434676,0.172650,0.148585,0.170940,1.680342,-0.219921,-0.180708,0.343590,0.178122,0.205042,-0.180714,32.0,35.0,31.0
1.090009,0.152781,0.366300,0.210256,0.149729,0.122100,1.676923,-0.221447,-0.151404,0.302564,0.182665,0.206371,-0.181930,32.0,35.0,31.0
1.100002,0.157740,0.590965,0.124786,0.151637,0.268620,1.632479,-0.222972,-0.258852,0.353846,0.187233,0.207690,-0.183197,32.0,35.0,31.0
1.110061,0.161936,0.385836,0.182906,0.153544,0.141636,1.652991,-0.224498,-0.053724,0.350427,0.191860,0.209011,-0.184530,32.0,35.0,31.0
1.120120,0.166514,0.385836,0.165812,0.155451,0.297924,1.608547,-0.226406,-0.239316,0.347009,0.196509,0.210329,-0.185927,32.0,35.0,31.0
1.130314,0.171092,0.483516,0.203419,0.157359,0.073260,1.588034,-0.227932,-0.102564,0.305983,0.201238,0.211662,-0.187416,32.0,35.0,31.0
1.140000,0.175669,0.473748,0.162393,0.159648,0.268620,1.540171,-0.229458,-0.200244,0.336752,0.205744,0.212929,-0.188904,32.0,35.0,31.0
1.150127,0.180629,0.532357,0.155556,0.161173,0.073260,1.553846,-0.230983,-0.200244,0.275214,0.210461,0.214257,-0.190543,32.0,35.0,31.0
1.160254,0.185206,0.327228,0.182906,0.162699,0.180708,1.564103,-0.232128,-0.190476,0.237607,0.215179,0.215590,-0.192274,32.0,35.0,31.0
1.170170,0.189784,0.454212,0.196581,0.164225,0.170940,1.625641,-0.233654,-0.200244,0.217094,0.219794,0.216903,-0.194064,32.0,35.0,31.0
1.180177,0.194362,0.434676,0.193162,0.164988,0.073260,1.639316,-0.234798,-0.112332,0.148718,0.224440,0.218237,-0.195972,32.0,35.0,31.0
1.190049,0.199321,0.483516,0.148718,0.166514,0.122100,1.611966,-0.236706,-0.249084,0.237607,0.229007,0.219565,-0.197960,32.0,35.0,31.0
1.200044,0.204280,0.483516,0.193162,0.167659,0.063492,1.673504,-0.238613,-0.258852,0.203419,0.233607,0.220924,-0.200087,32.0,35.0,31.0
1.210248,0.208476,0.415140,0.213675,0.168040,0.004884,1.745299,-0.240520,-0.268620,0.264957,0.238273,0.222327,-0.202382,32.0,35.0,31.0
1.220206,0.213054,0.473748,0.206838,0.168803,0.043956,1.782906,-0.242809,-0.210012,0.295726,0.242790,0.223715,-0.204749,32.0,35.0,31.0
1.230228,0.217632,0.659341,0.131624,0.169566,0.083028,1.748718,-0.245098,-0.210012,0.176068,0.247293,0.225133,-0.207263,32.0,35.0,31.0
1.240000,0.222210,0.454212,0.131624,0.170710,0.161172,1.776068,-0.247768,-0.317460,0.285470,0.251636,0.226536,-0.209848,32.0,35.0,31.0
1.250247,0.226787,0.463980,0.162393,0.171473,0.122100,1.830769,-0.250820,-0.385836,0.193162,0.256132,0.228031,-0.212706,32.0,35.0,31.0
1.260000,0.231365,0.385836,0.193162,0.172236,0.131868,1.800000,-0.253491,-0.210012,0.264957,0.260351,0.229480,-0.215572,32.0,35.0,31.0
1.270508,0.235943,0.503053,0.128205,0.173381,0.122100,1.728205,-0.256542,-0.258852,0.292308,0.264821,0.231071,-0.218823,32.0,35.0,31.0
1.280022,0.240139,0.444444,0.148718,0.174907,0.112332,1.745299,-0.259976,-0.356532,0.309402,0.268795,0.232538,-0.221919,32.0,35.0,31.0
1.290936,0.244717,0.415140,0.138462,0.176432,0.141636,1.779487,-0.263409,-0.346764,0.360684,0.273261,0.234255,-0.225653,32.0,35.0,31.0
1.300274,0.248913,0.336996,0.158974,0.177958,0.180708,1.697436,-0.267224,-0.405372,0.364103,0.276996,0.235754,-0.229008,32.0,35.0,31.0
1.310013,0.252728,0.395604,0.189744,0.179866,0.190476,1.728205,-0.271038,-0.454212,0.343590,0.280800,0.237349,-0.232667,32.0,35.0,31.0
1.320108,0.256542,0.307692,0.244444,0.181773,0.122100,1.635897,-0.274853,-0.307692,0.309402,0.284638,0.239036,-0.236637,32.0,35.0,31.0
1.330169,0.260357,0.366300,0.155556,0.183680,0.170940,1.735043,-0.279049,-0.503053,0.258120,0.288351,0.240753,-0.240777,32.0,35.0,31.0
1.340000,0.263790,0.405372,0.193162,0.185588,0.190476,1.666667,-0.282864,-0.454212,0.254701,0.291863,0.242466,-0.245002,32.0,35.0,31.0
1.350227,0.267605,0.415140,0.152137,0.187495,0.190476,1.670085,-0.287060,-0.415140,0.268376,0.295388,0.244286,-0.249589,32.0,35.0,31.0
1.360000,0.271420,0.229548,0.141880,0.189784,0.180708,1.632479,-0.291257,-0.395604,0.237607,0.298628,0.246062,-0.254158,32.0,35.0,31.0
1.370122,0.275235,0.366300,0.165812,0.191691,0.112332,1.707692,-0.296216,-0.454212,0.182906,0.301844,0.247939,-0.259083,32.0,35.0,31.0
1.380121,0.278668,0.307692,0.135043,0.193599,0.229548,1.694017,-0.300793,-0.483516,0.278632,0.304875,0.249832,-0.264145,32.0,35.0,31.0
1.390134,0.282101,0.336996,0.148718,0.195506,0.180708,1.649573,-0.306134,-0.542125,0.254701,0.307757,0.251766,-0.269410,32.0,35.0,31.0
