time_s,f_des_N,f_est_N,f_ati_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,motor_kp,motor_kd
2.330209,0.000000,-0.025641,-0.035968,0.000000,-0.005128,-0.000191,-0.063492,5.0000,0.1000
2.340155,0.000000,-0.025641,-0.035968,0.000000,-0.005128,-0.000191,-0.063492,5.0000,0.1000
2.352127,0.000000,-0.025641,-0.038945,0.000000,-0.005128,-0.000191,-0.083028,5.0000,0.1000
2.360190,0.000000,-0.042735,-0.056407,0.000000,-0.008547,-0.000191,-0.073260,5.0000,0.1000
2.370056,0.000000,-0.059829,-0.056407,0.000000,-0.011966,-0.000191,0.053724,5.0000,0.1000
2.380361,0.000000,-0.008547,-0.039918,0.000000,-0.001709,-0.000191,-0.004884,5.0000,0.1000
2.390108,0.000000,-0.042735,-0.039918,0.000000,-0.008547,-0.000191,0.083028,5.0000,0.1000
2.400175,0.000000,-0.042735,-0.020942,0.000000,-0.008547,-0.000191,-0.053724,5.0000,0.1000
2.410291,0.000000,-0.059829,-0.039119,0.000000,-0.011966,-0.000191,0.024420,5.0000,0.1000
2.420321,0.000000,-0.025641,-0.039119,0.000000,-0.005128,-0.000191,0.004884,5.0000,0.1000
2.431869,0.000000,-0.025641,-0.043080,0.000000,-0.005128,-0.000191,0.073260,5.0000,0.1000
2.440617,0.000000,-0.025641,-0.059330,0.000000,-0.005128,-0.000191,-0.014652,5.0000,0.1000
2.451287,0.000000,-0.042735,-0.059330,0.000000,-0.008547,-0.000191,0.034188,5.0000,0.1000
2.460169,0.000000,-0.008547,-0.031424,0.000000,-0.001709,-0.000191,-0.073260,5.0000,0.1000
2.470222,0.000000,-0.025641,-0.031424,0.000000,-0.005128,-0.000191,0.004884,5.0000,0.1000
2.480916,0.000000,-0.008547,-0.022492,0.000000,-0.001709,-0.000191,-0.024420,5.0000,0.1000
2.490627,0.000000,-0.059829,-0.047696,0.000000,-0.011966,-0.000191,-0.083028,5.0000,0.1000
2.500131,0.000000,-0.042735,-0.048507,0.000000,-0.008547,-0.000191,0.034188,5.0000,0.1000
